1.3144,1.1785,0.7943,0.4132,0.2309,0.1213,0.0906,0.0729,0.0635,0.0615,0.057999999999999996,0.0554
1.305,1.0872,0.7805,0.4324,0.2033,0.1206,0.0768,0.066,0.0566,0.057999999999999996,0.0537,0.0539
1.2155,1.0161,0.747,0.3698,0.1908,0.1186,0.0771,0.066,0.0624,0.0558,0.0562,0.0544
1.2389,1.0954,0.6835,0.4122,0.1949,0.1054,0.0715,0.0641,0.0553,0.054000000000000006,0.0537,0.054000000000000006
1.4406,1.3262,1.0973,0.7025,0.3889,0.2002,0.1076,0.0745,0.0638,0.0569,0.0568,0.054000000000000006
1.4675,1.296,1.087,0.6903,0.3797,0.1906,0.1057,0.078,0.06,0.0542,0.0529,0.0527
0.3271,0.1458,0.0898,0.0638,0.0563,0.0582,0.0538,0.0513,0.0506,0.0502,0.0515,0.0541
0.2943,0.1298,0.0777,0.0625,0.0569,0.0544,0.0527,0.0529,0.0544,0.0522,0.0534,0.0552
0.1943,0.0999,0.0701,0.0581,0.061,0.0555,0.0542,0.0551,0.055999999999999994,0.0519,0.0541,0.0534
0.1678,0.0838,0.0633,0.0559,0.0509,0.0512,0.0506,0.0516,0.0478,0.0491,0.0496,0.0498
0.2447,0.1144,0.0705,0.0569,0.0508,0.0483,0.0482,0.0478,0.0507,0.0473,0.0471,0.0481
0.2391,0.1083,0.0612,0.0555,0.0507,0.0478,0.0485,0.0495,0.0498,0.049,0.0491,0.0493
0.0951,0.0599,0.0525,0.049,0.0461,0.0467,0.0479,0.0475,0.0493,0.0499,0.0504,0.0496
0.0957,0.063,0.0519,0.0505,0.0479,0.0479,0.0475,0.0483,0.0489,0.0478,0.0491,0.0492
0.1165,0.0676,0.0578,0.0509,0.0505,0.0485,0.0493,0.0459,0.0482,0.0489,0.0488,0.049
0.0916,0.0602,0.0512,0.0492,0.0493,0.0494,0.0493,0.0491,0.0486,0.0514,0.052000000000000005,0.0511
1.0008,0.5959,0.285,0.171,0.1013,0.0716,0.0637,0.0606,0.057,0.0559,0.0563,0.0552
0.8307,0.4101,0.2039,0.1051,0.0658,0.059000000000000004,0.0557,0.0554,0.0503,0.0527,0.0509,0.0515
1.0293,0.6303,0.35600000000000004,0.1777,0.098,0.0664,0.0562,0.0521,0.0514,0.0498,0.0507,0.049
0.9637,0.579,0.3013,0.1543,0.0876,0.0607,0.0525,0.0513,0.0516,0.052000000000000005,0.054000000000000006,0.0531
0.2892,0.1285,0.076,0.0572,0.0475,0.0507,0.0498,0.0532,0.0522,0.0513,0.0526,0.0509
0.2965,0.1262,0.0742,0.0574,0.0529,0.051,0.0494,0.0505,0.0507,0.0478,0.0492,0.049
0.40700000000000003,0.1441,0.0857,0.0604,0.0546,0.0536,0.0518,0.0475,0.0491,0.0507,0.0509,0.0501
0.4175,0.1658,0.0893,0.0647,0.0547,0.0554,0.0537,0.0544,0.0546,0.0546,0.0538,0.0542
0.6604,0.3198,0.1599,0.0952,0.0721,0.0634,0.0592,0.0568,0.0561,0.0546,0.0542,0.053
0.5385,0.2369,0.1148,0.0729,0.0546,0.0594,0.057999999999999996,0.0573,0.0512,0.0522,0.0523,0.0524
0.8304,0.452,0.2171,0.1116,0.0702,0.0571,0.0504,0.0513,0.0499,0.0501,0.0508,0.0509
0.8653,0.4415,0.2065,0.1171,0.0732,0.0565,0.0511,0.0524,0.0509,0.052000000000000005,0.0528,0.0545
0.0594,0.0604,0.0514,0.0519,0.0453,0.05,0.0487,0.0506,0.0495,0.0514,0.053,0.0524
0.0546,0.0529,0.0519,0.0504,0.0516,0.051,0.0499,0.051,0.0522,0.0514,0.0527,0.0513
0.0545,0.0547,0.0553,0.0541,0.0557,0.0558,0.0567,0.0483,0.0505,0.053,0.0527,0.0512
0.0575,0.055,0.0536,0.0533,0.0547,0.0541,0.0542,0.0546,0.0538,0.0569,0.0547,0.0539
1.1774,0.7329,0.2713,0.1456,0.1082,0.0806,0.0697,0.0631,0.0595,0.0584,0.057999999999999996,0.0556
0.9019,0.6645,0.3583,0.1698,0.0736,0.0672,0.0629,0.0504,0.0535,0.0533,0.0537,0.0524
0.0594,0.0592,0.0603,0.0586,0.0503,0.0561,0.0536,0.055999999999999994,0.0533,0.0525,0.0518,0.0522
0.0607,0.0605,0.0493,0.0572,0.0513,0.05,0.0533,0.0528,0.0519,0.0514,0.051,0.0511
0.7118,0.4219,0.1832,0.0911,0.0543,0.0505,0.054000000000000006,0.0516,0.0513,0.0509,0.0552,0.0501
0.6051,0.3183,0.12,0.0708,0.0533,0.0507,0.0515,0.0542,0.0527,0.0518,0.0507,0.0486
0.055,0.0571,0.0518,0.0468,0.0489,0.0464,0.0473,0.0459,0.0522,0.0497,0.0521,0.0501
0.0563,0.0489,0.0486,0.0495,0.0477,0.0513,0.0594,0.0524,0.0567,0.0579,0.0559,0.0515
1.1834,0.6931,0.3527,0.1745,0.1071,0.0755,0.0667,0.0595,0.0561,0.0538,0.0537,0.0511
1.1453,0.6726,0.3342,0.1545,0.0834,0.0674,0.0607,0.0587,0.053,0.05,0.0505,0.0508
0.0618,0.0558,0.0572,0.0594,0.0538,0.0524,0.0502,0.0518,0.0523,0.0488,0.0492,0.0488
0.062,0.0562,0.0587,0.0527,0.0526,0.0503,0.0516,0.0506,0.0502,0.0491,0.0493,0.0498
0.0528,0.0521,0.0504,0.0522,0.0482,0.0508,0.0501,0.0495,0.0498,0.0497,0.0519,0.0492
0.0511,0.0535,0.0529,0.0517,0.0525,0.0499,0.0509,0.0498,0.0501,0.0469,0.0482,0.0471
0.188,0.1008,0.0632,0.0545,0.0527,0.0511,0.0511,0.0506,0.0496,0.0475,0.0484,0.048
0.1702,0.0905,0.0652,0.0589,0.0558,0.0545,0.0556,0.0541,0.0515,0.053,0.0515,0.0488
1.0442,0.6481,0.3486,0.1627,0.1004,0.0743,0.0635,0.0605,0.0572,0.0552,0.0561,0.054000000000000006
0.9724,0.6263,0.3037,0.14300000000000002,0.0766,0.0626,0.0577,0.0591,0.052000000000000005,0.0526,0.0515,0.0528
0.7871,0.3641,0.1591,0.0921,0.065,0.0554,0.0521,0.052000000000000005,0.0516,0.0491,0.05,0.0508
0.7828,0.3348,0.1588,0.0938,0.0645,0.0549,0.0509,0.0523,0.0509,0.0495,0.0504,0.0519
0.9159,0.544,0.2835,0.1301,0.0638,0.0578,0.0521,0.0525,0.0509,0.0506,0.0553,0.0516
1.0115,0.5712,0.2583,0.1368,0.0732,0.0584,0.0534,0.0539,0.0529,0.0507,0.051,0.052000000000000005
0.2104,0.1002,0.068,0.0578,0.0546,0.0539,0.0509,0.0476,0.049,0.0494,0.049,0.0506
0.2392,0.1085,0.0729,0.0584,0.0556,0.0558,0.0557,0.054000000000000006,0.0536,0.0535,0.054000000000000006,0.0505
1.2952,0.7932,0.3959,0.1758,0.1078,0.0755,0.0634,0.0591,0.0559,0.0551,0.0561,0.0545
1.1842,0.7447,0.3432,0.1659,0.0801,0.067,0.0606,0.0576,0.0532,0.0505,0.0511,0.0521
1.3511,1.0422,0.6413,0.3255,0.1557,0.0926,0.067,0.0573,0.0531,0.0501,0.0499,0.0497
1.3330000000000002,0.9111,0.5021,0.2681,0.1332,0.0766,0.0602,0.0532,0.0498,0.0502,0.05,0.0505
0.0552,0.0523,0.0524,0.0532,0.0464,0.052000000000000005,0.0501,0.0515,0.0498,0.0496,0.0531,0.051
0.0555,0.0545,0.0528,0.0538,0.0525,0.0516,0.0505,0.0494,0.0504,0.046,0.0487,0.0491
0.1489,0.0551,0.054000000000000006,0.0524,0.0535,0.0522,0.0528,0.0471,0.0509,0.0509,0.0507,0.0505
0.0553,0.0581,0.0512,0.0575,0.0546,0.0549,0.0569,0.0553,0.0564,0.0547,0.0551,0.0532
1.2955,0.9882,0.5728,0.2905,0.1694,0.0991,0.0708,0.059000000000000004,0.0606,0.0557,0.0547,0.053
1.2117,0.8825,0.4713,0.2422,0.1106,0.0778,0.0635,0.0587,0.0525,0.0526,0.053,0.0534
0.4547,0.1965,0.0912,0.065,0.0558,0.0518,0.0492,0.0494,0.0501,0.0491,0.0488,0.0504
0.429,0.1431,0.0754,0.0593,0.0534,0.0497,0.0504,0.0492,0.0508,0.0489,0.0489,0.051
0.7636,0.354,0.1733,0.0838,0.0515,0.0533,0.0498,0.0494,0.0504,0.0482,0.0514,0.0501
0.782,0.3624,0.1455,0.0758,0.0583,0.0516,0.049,0.048,0.0487,0.0463,0.0468,0.0487
1.133,0.8124,0.4704,0.2245,0.1184,0.0669,0.0536,0.0482,0.0469,0.0454,0.0464,0.0486
1.0905,0.7463,0.3835,0.2539,0.1266,0.0777,0.0624,0.0543,0.0504,0.0529,0.0495,0.049
0.0655,0.0604,0.06,0.0596,0.0579,0.0557,0.0568,0.0571,0.0586,0.0563,0.0558,0.0566
0.0647,0.0558,0.0536,0.0537,0.0569,0.053,0.0531,0.0547,0.0514,0.0508,0.0512,0.0554
1.1968,0.8887,0.5638,0.28,0.1468,0.0878,0.0628,0.0545,0.0528,0.0504,0.0518,0.0513
1.1674,0.8185,0.4586,0.2562,0.1282,0.0753,0.0596,0.0537,0.0514,0.0507,0.0525,0.0519
0.5588,0.2552,0.1239,0.0739,0.0566,0.0524,0.0495,0.0499,0.0498,0.0505,0.0531,0.0507
